City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Panguna,PG,-6.3164,155.4848,79.72,65,24,3.69,light rain
325,Bambanglipuro,ID,-7.95,110.2833,82.18,70,92,11.59,overcast clouds
326,Puerto Colombia,CO,10.9878,-74.9547,80.69,81,31,25.7,scattered clouds
327,Saint-Joseph,RE,-21.3667,55.6167,73.78,69,33,11.14,scattered clouds
328,Palauig,PH,15.435,119.9045,82.74,80,99,11.9,overcast clouds
329,Omachi,JP,36.5,137.8667,92.73,62,24,3.22,few clouds
330,Alekseyevka,RU,50.6309,38.6903,68.67,59,52,9.44,broken clouds
331,Melilla,ES,35.2937,-2.9383,80.98,89,75,8.05,broken clouds
332,Kokopo,PG,-4.352,152.2633,85.8,61,53,15.57,broken clouds
333,Mount Gambier,AU,-37.8333,140.7667,55.31,71,100,20.71,overcast clouds
334,Amahai,ID,-3.3333,128.9167,79.0,89,93,9.51,light rain
335,West Odessa,US,31.8424,-102.4988,87.82,33,0,14.97,clear sky
336,Baykit,RU,61.67,96.37,77.18,68,52,5.61,light rain
337,Road Town,VG,18.4167,-64.6167,82.49,85,9,22.12,clear sky
338,Kashiwazaki,JP,37.3667,138.55,93.88,61,22,6.31,few clouds
339,Evensk,RU,61.95,159.2333,54.3,81,98,11.43,overcast clouds
340,Graaff-Reinet,ZA,-32.2522,24.5308,34.92,84,0,0.51,clear sky
341,Lazaro Cardenas,MX,17.9583,-102.2,78.57,83,99,3.36,overcast clouds
342,Dakar,SN,14.6937,-17.4441,79.68,79,99,13.11,overcast clouds
343,Catalina,US,32.5056,-110.9211,76.59,77,98,5.53,overcast clouds
344,Saint George,US,37.1041,-113.5841,73.99,78,20,3.44,few clouds
345,Pirgos,GR,35.1167,25.7178,84.61,30,0,7.2,clear sky
